省内频道,#genre#
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=6404248148ed1545bb6a4bbf-156429063312132&wsIPSercert=d13b15ef67cd8166aeb139578534516a&wsMonitor=0
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=6d175258de742132e85e9405-157881825529454&wsIPSercert=82db4cc65e24e5963f2c368b180dc0b3&wsMonitor=0&time=1578818276184
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=ac45e27a334257c4d268aa28-156386102005599&wsIPSercert=3cfee0b74021192a76485d7a0370374b&wsMonitor=0
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=c470f058bd31b76b000d2369-15826475717&wsIPSercert=6aba25afa3d5dfcccf69b797bf2ad5a4&wsMonitor=0
香港卫视,http://zhibo.hkstv.tv:80/livestream/mutfysrq.flv

凤凰中文,http://223.110.235.3/ott.js.chinamobile.com/PLTV/3/224/3221228057/index.m3u8

凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8

凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8

凤凰资讯,http://223.110.235.13/ott.js.chinamobile.com/PLTV/3/224/3221228098/index.m3u8$JS1080P

凤凰资讯,http://117.169.120.138:8080/live/fhzixun/.m3u8
凤凰资讯,http://183.207.249.35/PLTV/3/224/3221226923/index.m3u8
凤凰资讯,http://117.169.120.138:8080/live/fhzixun/index.m3u8
凤凰香港,http://223.110.245.136/PLTV/3/224/3221226975/index.m3u8?icpid=88888888&from=0&hms_devid=3804
凤凰资讯台,http://223.110.235.13/ott.js.chinamobile.com/PLTV/3/224/3221228098/index.m3u8

凤凰中文台,http://223.110.245.167/ott.js.chinamobile.com/PLTV/3/224/3221226922/index.m3u8
凤凰中文台,http://223.110.245.139/PLTV/3/224/3221226922/index.m3u8

凤凰香港,http://183.207.249.34/PLTV/3/224/3221226975/index.m3u8
凤凰香港,http://183.207.249.36/PLTV/3/224/3221226975/index.m3u8
凤凰电影台,http://218.202.220.2:5000/nn_live.ts?id=NEWSASIA
翡翠台,http://116.199.5.51:8114/00000000/2e368e04c76446bc9d30ca7a9f934dae/index.m3u8?Fsv_cid=1034&Fsv_chan_hls_se_idx=188&Fsv_ctype=LIVES&version=9&Fsv_rate_id=1&Fsv_otype=1&FvSeid=5abd1660af1babb4&Pcontent_id=7f88be5fb6fd426494f6aa240f1dc7a9&Provider_id=00000000&Fsv_filetype=1&Fsv_ShiftEnable=0&Fsv_SV_PARAM1=0&Fsv_ShiftTsp=240&Fsv_CMSID=00000000&AuthInfo=P2ZSH2gNMZ8aiVfV%2BjCYczoGsAYoDo4KY5I3eHfJhGTKdSzgLwCHoSet9it9fXrMLwehJxh9gmO%2F%0AOFrWyxI%2BtteLTJnZKT7Lg8BRYQNXMQU%3D%0A
翡翠台,http://116.199.5.51:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=188&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
翡翠台,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=188&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
翡翠台,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=188&Fsv_rate_id=1&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
翡翠台,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=188&Fsv_rate_id=1&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1&lv=1&c=0&s=4&v=100&wh=16:9&p=1翡翠台
翡翠台,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Pcontent_id=&Provider_id=&Fsv_chan_hls_se_idx=188
明珠台,http://116.199.5.51:8114/00000000/2e368e04c76446bc9d30ca7a9f934dae/index.m3u8?Fsv_cid=1034&Fsv_chan_hls_se_idx=12&Fsv_ctype=LIVES&version=9&Fsv_rate_id=1&Fsv_otype=1&FvSeid=5abd1660af1babb4&Pcontent_id=7f88be5fb6fd426494f6aa240f1dc7a9&Provider_id=00000000&Fsv_filetype=1&Fsv_ShiftEnable=0&Fsv_SV_PARAM1=0&Fsv_ShiftTsp=240&Fsv_CMSID=00000000&AuthInfo=P2ZSH2gNMZ8aiVfV%2BjCYczoGsAYoDo4KY5I3eHfJhGTKdSzgLwCHoSet9it9fXrMLwehJxh9gmO%2F%0AOFrWyxI%2BtteLTJnZKT7Lg8BRYQNXMQU%3D%0A
明珠台,http://116.199.5.51:8114/index.m3u8?Fsv_chan_hls_se_idx=12&FvSeid=1&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=12&Fsv_rate_id=2&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=.m3u8&Fsv_CMSID=&Fsv_otype=1
明珠台,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=12&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
明珠台,http://116.199.5.52:8114/00000000/index.m3u8?Fsv_chan_hls_se_idx=12&FvSeid=1&Fsv_ctype=LIVES&Fsv_otype=1&Provider_id=&Pcontent_id=.m3u8
明珠台,http://116.199.5.51:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=12&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
星空卫视,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Pcontent_id=&Provider_id=&Fsv_chan_hls_se_idx=233
星空卫视,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=233&Fsv_rate_id=1&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
星空卫视,http://218.202.220.2:5000/nn_live.ts?id=STARTV
星空卫视,http://116.199.5.51:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=233&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
星空卫视,http://116.199.5.51:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=234&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1

澳视澳门1,http://61.244.22.5/ch1/_definst_/ch1.live/playlist.m3u8
澳视澳门1,http://61.244.22.4/ch1/ch1.live/playelist.m3u8
澳视澳门2,http://61.244.22.4/ch2/ch2.live/playelist.m3u8
澳视澳门3,http://61.244.22.5/ch3/_definst_/ch3.live/playlist.m3u8
澳视澳门3,http://61.244.22.4/ch3/ch3.live/playelist.m3u8
澳视澳门5,http://61.244.22.5/ch5/_definst_/info_ch5.live/playlist.m3u8
澳视综艺,http://61.244.22.5/ch6/_definst_/hd_ch6.live/playlist.m3u8
亚美卫视,http://dcunilive30-lh.akamaihd.net/i/dclive_1@535522/master.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8?wowzasessionid=64000
耀才财经,http://202.69.67.66:443/webcast/bshdlive-mobile/playlist.m3u8
中国环球电视,http://live.cgtn.com/500/prog_index.m3u8
香港卫视文旅,https://myun-hw-s3.myun.tv/melj80jz/lxx27bol/1551285536499984128.m3u8
Fox Sports HD1,https://austchannel-live.akamaized.net/hls/live/2002736/austchannel-sport/master.m3u8


央视频道1,#genre#
CCTV-1综合,http://60.255.49.202/live/CCTV-1H265_4000.m3u8
CCTV-1综合,http://39.135.34.150:8080/000000001000/1000000001000021973/1.m3u8?xtkg
CCTV-1综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV-2财经,http://60.255.49.202/live/CCTV-2H265_4000.m3u8
CCTV-2财经,http://39.135.138.60:18890/PLTV/88888910/224/3221225643/index.m3u8

CCTV-3综艺,http://60.255.49.202/live/CCTV-3H265_4000.m3u8
CCTV-3综艺,http://39.135.34.150:8080/000000001000/1000000001000011218/1.m3u8?xtkg
CCTV-3综艺,http://39.135.32.29:6610/000000001000/1000000001000011218/1.m3u8?
CCTV-3综艺,http://140.207.241.2:8080/live/program/live/cctv3hd/2300000/mnf.m3u8
CCTV-3综艺,http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8


CCTV-4中文国际,http://60.255.49.202/live/CCTV-4H265_4000.m3u8
CCTV-4中文国际,http://39.135.34.150:8080/000000001000/1000000002000031664/1.m3u8?xtkg

CCTV-4中文国际,http://39.135.32.29:6610/000000001000/1000000002000031664/1.m3u8?
CCTV-5体育,http://60.255.49.202/live/CCTV-5H265_4000.m3u8
CCTV-5体育,http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv5/HD-8000k-1080P-cctv5
CCTV-5体育,http://39.135.34.150:8080/000000001000/1000000001000004794/1.m3u8?xtkg
CCTV-5体育,http://111.63.117.13:6060/030000001000/CCTV-5/CCTV-5.m3u8
CCTV-5体育,http://140.207.241.2:8080/live/program/live/cctv5hd/4000000/mnf.m3u8

CCTV-5+体育赛事,http://60.255.49.202/live/CCTV-5plusH265_4000.m3u8
CCTV-5+体育赛事,http://39.134.39.39/TVOD/88888888/224/3221226253/index.m3u8
CCTV-5+体育赛事,http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV-6电影,http://60.255.49.202/live/CCTV-6H265_4000.m3u8
CCTV-6电影,http://39.135.34.150:8080/000000001000/1000000001000016466/1.m3u8?xtkg
CCTV-6电影,http://140.207.241.2:8080/live/program/live/cctv6hd/2300000/mnf.m3u8
CCTV-6电影,http://39.135.32.29:6610/000000001000/1000000001000016466/1.m3u8?
CCTV-6电影,http://111.63.117.13:6060/030000001000/CCTV-6/CCTV-6.m3u8

CCTV-7军事,http://39.135.32.29:6610/000000001000/1000000001000017218/1.m3u8?
CCTV-7军事,http://39.135.138.60:18890/PLTV/88888910/224/3221225624/index.m3u8
CCTV-7军事,http://39.135.138.59:18890/PLTV/88888910/224/3221225644/index.m3u8
CCTV-8电视剧,http://60.255.49.202/live/CCTV-8H265_4000.m3u8
CCTV-8电视剧,http://39.135.34.150:8080/000000001000/1000000001000003736/1.m3u8?xtkg
CCTV-8电视剧,http://140.207.241.2:8080/live/program/live/cctv8hd/2300000/mnf.m3u8

CCTV-9记录频道,http://60.255.49.202/live/CCTV-9H265_4000.m3u8
CCTV-9记录频道,http://39.135.34.150:8080/000000001000/1000000001000014583/1.m3u8?xtkg

CCTV-10科教,http://60.255.49.202/live/CCTV-10H265_4000.m3u8
CCTV-10科教,http://39.135.34.150:8080/000000001000/7019587760656900133/1.m3u8?xtkg

CCTV-11戏曲,http://60.255.49.202/live/CCTV-11-H265_4000.m3u8
CCTV-11戏曲,http://39.135.34.150:8080/000000001000/1000000002000019789/1.m3u8?xtkg
CCTV-11戏曲,http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV-12社会与法,http://60.255.49.202/live/CCTV-12H265_4000.m3u8
CCTV-12社会与法,http://39.135.32.29:6610/000000001000/1000000001000032494/1.m3u8?

CCTV-13新闻,http://39.135.34.150:8080/000000001000/1000000002000021303/1.m3u8?xtkg
CCTV-13新闻,http://39.135.138.60:18890/PLTV/88888910/224/3221225638/index.m3u8

CCTV-13新闻,http://39.135.32.29:6610/000000001000/1000000002000021303/1.m3u8?
CCTV-14少儿,http://60.255.49.202/live/CCTV-14H265_4000.m3u8
CCTV-14少儿,http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8

CCTV-15音乐,http://39.135.34.150:8080/000000001000/1000000002000008163/1.m3u8?xtkg
CCTV17-农业农村,http://60.255.49.202/live/CCTV-17_4000.m3u8
CCTV17-农业农村,http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv17/HD-8000k-1080P-cctv17
CCTV-1综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225642/index.m3u8

CCTV-6电影,http://39.135.138.58:18890/PLTV/88888888/224/3221225632/index.m3u8

CCTV-8电视剧,http://39.134.39.39/PLTV/88888888/224/3221226150/index.m3u8

CCTV-10科教,http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8

CCTV-14少儿,http://39.135.138.58:18890/PLTV/88888888/224/3221225640/index.m3u8

CCTV-4K超高清,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV4-中文国际欧洲,http://117.148.129.68/PLTV/88888888/224/3221231615/index.m3u8
CCTV4-中文国际美洲,http://117.148.179.160/PLTV/88888888/224/3221231654/index.m3u8
CNC中文,http://39.135.138.59:18890/PLTV/88888910/224/3221225694/index.m3u8
CNC英文,http://39.135.138.59:18890/PLTV/88888910/224/3221225693/index.m3u8
CNC英文,http://source07.v.news.cn/live/CNC_EN/playlist.m3u8

CGTN 俄语,http://liveru.cgtn.com/1000r/prog_index.m3u8
CGTN 西班牙,http://livees.cgtn.com/500e/prog_index.m3u8

央视频道2,#genre#

CCTV1,http://39.134.39.4/PLTV/88888888/224/3221226247/index.m3u8

CCTV2,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV2,http://39.134.115.163:8080/PLTV/88888910/224/3221225643/index.m3u8
CCTV2,http://39.134.39.4/PLTV/88888888/224/3221226220/index.m3u8

CCTV3,http://39.134.115.163:8080/PLTV/88888910/224/3221225634/index.m3u8
CCTV3,http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV4,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8

CCTV5+,http://39.134.115.163:8080/PLTV/88888910/224/3221225706/index.m3u8
CCTV5+,http://39.134.39.4/PLTV/88888888/224/3221226253/index.m3u8
CCTV5,http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV5,http://39.134.39.4/PLTV/88888888/224/3221226146/index.m3u8

CCTV6,http://39.134.115.163:8080/PLTV/88888910/224/3221225632/index.m3u8
CCTV6,http://39.134.115.163:8080/PLTV/88888910/224/3221225650/index.m3u8
CCTV6,http://39.134.39.4/PLTV/88888888/224/3221226226/index.m3u8

CCTV7,http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV7,http://39.134.115.163:8080/PLTV/88888910/224/3221225644/index.m3u8

CCTV8,http://39.134.115.163:8080/PLTV/88888910/224/3221225631/index.m3u8
CCTV8,http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8
CCTV8,http://39.134.39.4/PLTV/88888888/224/3221226150/index.m3u8

CCTV9,http://39.134.115.163:8080/PLTV/88888910/224/3221225626/index.m3u8
CCTV9,http://39.134.115.163:8080/PLTV/88888910/224/3221225646/index.m3u8

CCTV10,http://39.134.115.163:8080/PLTV/88888910/224/3221225627/index.m3u8
CCTV10,http://39.134.115.163:8080/PLTV/88888910/224/3221225636/index.m3u8
CCTV10,http://39.134.39.4/PLTV/88888888/224/3221226164/index.m3u8

CCTV12,http://39.134.115.163:8080/PLTV/88888910/224/3221225629/index.m3u8
CCTV12,http://39.134.115.163:8080/PLTV/88888910/224/3221225637/index.m3u8

CCTV13,http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8

CCTV14,http://39.134.115.163:8080/PLTV/88888910/224/3221225639/index.m3u8
CCTV14,http://39.134.115.163:8080/PLTV/88888910/224/3221225640/index.m3u8
CCTV15,http://39.134.115.163:8080/PLTV/88888910/224/3221225641/index.m3u8
CCTV17,http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8
CCTV-1,http://39.134.66.110/PLTV/88888888/224/3221225816/index.m3u8

CCTV-1,http://223.110.235.2/ott.js.chinamobile.com/PLTV/3/224/3221225530/index.m3u8

CCTV-1,http://223.110.235.2/ott.js.chinamobile.com/PLTV/3/224/3221227375/index.m3u8

CCTV-1,http://223.110.235.2/ott.js.chinamobile.com/PLTV/3/224/3221227675/index.m3u8

CCTV-1,http://117.148.179.160/PLTV/88888888/224/3221231468/index.m3u8

CCTV-2,http://223.110.246.67/ott.js.chinamobile.com/PLTV/4/224/3221226993/index.m3u8

CCTV-2,http://223.110.245.148/ott.js.chinamobile.com/PLTV/3/224/3221227543/index.m3u8

CCTV-2,http://117.148.179.160/PLTV/88888888/224/3221231678/index.m3u8
CCTV-3,http://117.148.179.160/PLTV/88888888/224/3221231682/index.m3u8

CCTV-3,http://223.110.243.158/ott.js.chinamobile.com/PLTV/3/224/3221227295/index.m3u8


CCTV-4,http://223.110.243.140/ott.js.chinamobile.com/PLTV/3/224/3221225534/index.m3u8
CCTV-4,http://223.110.243.140/ott.js.chinamobile.com/PLTV/3/224/3221227378/index.m3u8
CCTV-4,http://223.110.243.140/ott.js.chinamobile.com/PLTV/3/224/3221227489/index.m3u8

CCTV-4,http://117.148.179.160/PLTV/88888888/224/3221231726/index.m3u8

CCTV-5,http://39.134.66.110/PLTV/88888888/224/3221225818/index.m3u8
CCTV-5,http://223.110.243.141/ott.js.chinamobile.com/PLTV/3/224/3221227661/index.m3u8

CCTV-5,http://117.148.179.160/PLTV/88888888/224/3221231702/index.m3u8

CCTV-6,http://223.110.246.67/ott.js.chinamobile.com/PLTV/4/224/3221225548/index.m3u8
CCTV-6,http://223.110.246.67/ott.js.chinamobile.com/PLTV/4/224/3221227209/index.m3u8
CCTV-6,http://223.110.243.145/ott.js.chinamobile.com/PLTV/3/224/3221227581/index.m3u8

CCTV-6,http://117.148.179.160/PLTV/88888888/224/3221231724/index.m3u8

CCTV-7,http://39.134.66.110/PLTV/88888888/224/3221225671/index.m3u8

CCTV-7,http://223.110.245.148/ott.js.chinamobile.com/PLTV/3/224/3221225546/index.m3u8

CCTV-7,http://39.134.66.66/PLTV/88888888/224/3221225671/index.m3u8
CCTV-7,http://60.255.49.202/live/CCTV-7H265_4000.m3u8
CCTV-7,http://117.148.179.160/PLTV/88888888/224/3221231633/index.m3u8

CCTV-8,http://223.110.246.67/ott.js.chinamobile.com/PLTV/4/224/3221227205/index.m3u8

CCTV-8,http://117.148.179.160/PLTV/88888888/224/3221231694/index.m3u8

CCTV-8,http://223.110.243.164/ott.js.chinamobile.com/PLTV/3/224/3221227667/index.m3u8

CCTV-8,http://223.110.245.158/ott.js.chinamobile.com/PLTV/3/224/3221227750/index.m3u8

CCTV-9,http://39.134.66.110/PLTV/88888888/224/3221225676/index.m3u8
CCTV-9,http://223.110.246.67/ott.js.chinamobile.com/PLTV/4/224/3221227614/index.m3u8
CCTV-9,http://223.110.243.143/ott.js.chinamobile.com/PLTV/3/224/3221227704/index.m3u8

CCTV-9,http://117.148.179.160/PLTV/88888888/224/3221231697/index.m3u8

CCTV-10,http://39.134.66.110/PLTV/88888888/224/3221225677/index.m3u8

CCTV-10,http://223.110.243.141/ott.js.chinamobile.com/PLTV/3/224/3221227717/index.m3u8
CCTV-10,http://223.110.246.67/ott.js.chinamobile.com/PLTV/4/224/3221225550/index.m3u8

CCTV-10,http://117.148.179.160/PLTV/88888888/224/3221231666/index.m3u8

CCTV-11,http://223.110.243.149/ott.js.chinamobile.com/PLTV/3/224/3221227524/index.m3u8

CCTV-11,http://117.148.179.160/PLTV/88888888/224/3221231711/index.m3u8

CCTV-12,http://39.134.66.66/PLTV/88888888/224/3221225669/index.m3u8

CCTV-12,http://223.110.243.164/ott.js.chinamobile.com/PLTV/3/224/3221227655/index.m3u8

CCTV-12,http://223.110.246.67/ott.js.chinamobile.com/PLTV/4/224/3221225556/index.m3u8
CCTV-12,http://117.148.179.160/PLTV/88888888/224/3221231660/index.m3u8

CCTV-13,http://39.135.138.59:18890/PLTV/88888910/224/3221225638/index.m3u8

CCTV-13,http://223.110.246.67/ott.js.chinamobile.com/PLTV/4/224/3221227387/index.m3u8
CCTV-13,http://60.255.49.202/live/CCTV-xw_4000.m3u8

CCTV-14,http://223.110.246.67/ott.js.chinamobile.com/PLTV/4/224/3221227201/index.m3u8

CCTV-14,http://223.110.243.141/ott.js.chinamobile.com/PLTV/3/224/3221227693/index.m3u8

CCTV-14,http://117.148.179.160/PLTV/88888888/224/3221231648/index.m3u8

CCTV-15,http://223.110.243.167/ott.js.chinamobile.com/PLTV/3/224/3221227538/index.m3u8

CCTV-15,http://60.255.49.202/live/CCTV-15-yyH265_4000.m3u8
CCTV-15,http://117.148.179.160/PLTV/88888888/224/3221231693/index.m3u8

CCTV-5+,http://39.134.66.66/PLTV/88888888/224/3221225507/index.m3u8

CCTV-5+,http://223.110.235.2/ott.js.chinamobile.com/PLTV/3/224/3221227714/index.m3u8
CCTV-5+,http://223.110.246.67/ott.js.chinamobile.com/PLTV/4/224/3221227381/index.m3u8
CCTV-5+,http://223.110.246.67/ott.js.chinamobile.com/PLTV/4/224/3221227480/index.m3u8
CCTV-5+,http://223.110.245.150/ott.js.chinamobile.com/PLTV/3/224/3221227502/index.m3u8

CCTV-5+,http://223.110.243.145/ott.js.chinamobile.com/PLTV/3/224/3221227685/index.m3u8

CCTV-5+,http://117.148.179.160/PLTV/88888888/224/3221231459/index.m3u8

CCTV-17,http://39.134.66.110/PLTV/88888888/224/3221225708/index.m3u8

CCTV-17,http://223.110.243.167/ott.js.chinamobile.com/PLTV/3/224/3221227578/index.m3u8
CCTV-17,http://223.110.243.167/ott.js.chinamobile.com/PLTV/3/224/3221227589/index.m3u8
CCTV-17,http://223.110.243.150/ott.js.chinamobile.com/PLTV/3/224/3221227592/index.m3u8

CCTV-17,http://223.110.243.149/ott.js.chinamobile.com/PLTV/3/224/3221227726/index.m3u8

CCTV-17,http://117.148.179.160/PLTV/88888888/224/3221231772/index.m3u8
CCTV-4欧洲,http://117.148.179.160/PLTV/88888888/224/3221231615/index.m3u8

CCTV-15,http://39.135.138.60:18890/PLTV/88888910/224/3221225641/index.m3u8
CCTV1,http://39.135.34.142:8080/000000001000/1000000001000021973/1.m3u8?
